GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
9,250,500,RAVE,MCTS,30,ROUGE,22,8,73.33333333333333,26.666666666666668
9,250,500,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,250,500,MCTS,MCTS,30,ROUGE,3,27,10.0,90.0
9,250,1000,RAVE,RAVE,30,BLEU,9,21,30.0,70.0
9,250,1000,RAVE,MCTS,30,BLEU,12,18,40.0,60.0
9,250,1000,MCTS,RAVE,30,BLEU,2,28,6.666666666666667,93.33333333333333
9,250,1000,MCTS,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,250,1000,RAVE,RAVE,30,ROUGE,8,22,26.666666666666668,73.33333333333333
9,250,1000,RAVE,MCTS,30,ROUGE,10,20,33.333333333333336,66.66666666666667
9,250,1000,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
9,250,1000,MCTS,MCTS,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
9,250,2000,RAVE,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,250,2000,RAVE,MCTS,30,BLEU,3,27,10.0,90.0
9,250,2000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,250,2000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,250,2000,RAVE,RAVE,30,ROUGE,7,23,23.333333333333332,76.66666666666667
9,250,2000,RAVE,MCTS,30,ROUGE,2,28,6.666666666666667,93.33333333333333
9,250,2000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,250,2000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,250,3000,RAVE,RAVE,30,BLEU,11,19,36.666666666666664,63.333333333333336
9,250,3000,RAVE,MCTS,30,BLEU,2,28,6.666666666666667,93.33333333333333
9,250,3000,MCTS,RAVE,30,BLEU,2,28,6.666666666666667,93.33333333333333
9,250,3000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,250,3000,RAVE,RAVE,30,ROUGE,5,25,16.666666666666668,83.33333333333333
9,250,3000,RAVE,MCTS,30,ROUGE,2,28,6.666666666666667,93.33333333333333
9,250,3000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,250,3000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,250,5000,RAVE,RAVE,30,BLEU,8,22,26.666666666666668,73.33333333333333
9,250,5000,RAVE,MCTS,30,BLEU,0,30,0.0,100.0
9,250,5000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,250,5000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,250,5000,RAVE,RAVE,30,ROUGE,10,20,33.333333333333336,66.66666666666667
9,250,5000,RAVE,MCTS,30,ROUGE,0,30,0.0,100.0
9,250,5000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,250,5000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,500,100,RAVE,RAVE,30,BLEU,26,4,86.66666666666667,13.333333333333334
9,500,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
9,500,100,MCTS,RAVE,30,BLEU,13,17,43.333333333333336,56.666666666666664
9,500,100,MCTS,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
9,500,100,RAVE,RAVE,30,ROUGE,26,4,86.66666666666667,13.333333333333334
9,500,100,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
9,500,100,MCTS,RAVE,30,ROUGE,12,18,40.0,60.0
