GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
7,100,100,RAVE,RAVE,30,BLEU,16,14,53.333333333333336,46.666666666666664
7,100,100,RAVE,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
7,100,100,MCTS,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
7,100,100,MCTS,MCTS,30,BLEU,19,11,63.333333333333336,36.666666666666664
7,100,100,RAVE,RAVE,30,ROUGE,10,20,33.333333333333336,66.66666666666667
7,100,100,RAVE,MCTS,30,ROUGE,26,4,86.66666666666667,13.333333333333334
7,100,100,MCTS,RAVE,30,ROUGE,6,24,20.0,80.0
7,100,100,MCTS,MCTS,30,ROUGE,10,20,33.333333333333336,66.66666666666667
7,100,250,RAVE,RAVE,30,BLEU,11,19,36.666666666666664,63.333333333333336
7,100,250,RAVE,MCTS,30,BLEU,19,11,63.333333333333336,36.666666666666664
7,100,250,MCTS,RAVE,30,BLEU,3,27,10.0,90.0
7,100,250,MCTS,MCTS,30,BLEU,4,26,13.333333333333334,86.66666666666667
7,100,250,RAVE,RAVE,30,ROUGE,9,21,30.0,70.0
7,100,250,RAVE,MCTS,30,ROUGE,23,7,76.66666666666667,23.333333333333332
7,100,250,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
7,100,250,MCTS,MCTS,30,ROUGE,3,27,10.0,90.0
7,100,500,RAVE,RAVE,30,BLEU,10,20,33.333333333333336,66.66666666666667
7,100,500,RAVE,MCTS,30,BLEU,11,19,36.666666666666664,63.333333333333336
7,100,500,MCTS,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
7,100,500,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
7,100,500,RAVE,RAVE,30,ROUGE,5,25,16.666666666666668,83.33333333333333
7,100,500,RAVE,MCTS,30,ROUGE,6,24,20.0,80.0
7,100,500,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
7,100,500,MCTS,MCTS,30,ROUGE,2,28,6.666666666666667,93.33333333333333
7,100,1000,RAVE,RAVE,30,BLEU,5,25,16.666666666666668,83.33333333333333
7,100,1000,RAVE,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
7,100,1000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
7,100,1000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
7,100,1000,RAVE,RAVE,30,ROUGE,8,22,26.666666666666668,73.33333333333333
7,100,1000,RAVE,MCTS,30,ROUGE,5,25,16.666666666666668,83.33333333333333
7,100,1000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
7,100,1000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
7,100,2000,RAVE,RAVE,30,BLEU,10,20,33.333333333333336,66.66666666666667
