GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
11,250,1000,RAVE,RAVE,30,ROUGE,8,22,26.666666666666668,73.33333333333333
11,250,1000,RAVE,MCTS,30,ROUGE,18,12,60.0,40.0
11,250,1000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
11,250,1000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
11,500,100,RAVE,RAVE,30,BLEU,29,1,96.66666666666667,3.3333333333333335
11,500,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
11,500,100,MCTS,RAVE,30,BLEU,12,18,40.0,60.0
11,500,100,MCTS,MCTS,30,BLEU,30,0,100.0,0.0
11,500,100,RAVE,RAVE,30,ROUGE,26,4,86.66666666666667,13.333333333333334
11,500,100,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
11,500,100,MCTS,RAVE,30,ROUGE,11,19,36.666666666666664,63.333333333333336
11,500,100,MCTS,MCTS,30,ROUGE,30,0,100.0,0.0
11,500,250,RAVE,RAVE,30,BLEU,18,12,60.0,40.0
11,500,250,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
11,500,250,MCTS,RAVE,30,BLEU,8,22,26.666666666666668,73.33333333333333
11,500,250,MCTS,MCTS,30,BLEU,28,2,93.33333333333333,6.666666666666667
11,500,250,RAVE,RAVE,30,ROUGE,18,12,60.0,40.0
11,500,250,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
11,500,250,MCTS,RAVE,30,ROUGE,2,28,6.666666666666667,93.33333333333333
11,500,250,MCTS,MCTS,30,ROUGE,24,6,80.0,20.0
11,500,500,RAVE,RAVE,30,BLEU,21,9,70.0,30.0
11,500,500,RAVE,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
11,500,500,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
11,500,500,MCTS,MCTS,30,BLEU,16,14,53.333333333333336,46.666666666666664
11,500,500,RAVE,RAVE,30,ROUGE,12,18,40.0,60.0
11,500,500,RAVE,MCTS,30,ROUGE,29,1,96.66666666666667,3.3333333333333335
11,500,500,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
11,500,500,MCTS,MCTS,30,ROUGE,14,16,46.666666666666664,53.333333333333336
11,500,1000,RAVE,RAVE,30,BLEU,20,10,66.66666666666667,33.333333333333336
11,500,1000,RAVE,MCTS,30,BLEU,25,5,83.33333333333333,16.666666666666668
11,500,1000,MCTS,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
11,500,1000,MCTS,MCTS,30,BLEU,6,24,20.0,80.0
11,500,1000,RAVE,RAVE,30,ROUGE,14,16,46.666666666666664,53.333333333333336
11,500,1000,RAVE,MCTS,30,ROUGE,18,12,60.0,40.0
11,500,1000,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
11,500,1000,MCTS,MCTS,30,ROUGE,2,28,6.666666666666667,93.33333333333333
11,1000,100,RAVE,RAVE,30,BLEU,27,3,90.0,10.0
11,1000,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
11,1000,100,MCTS,RAVE,30,BLEU,20,10,66.66666666666667,33.333333333333336
11,1000,100,MCTS,MCTS,30,BLEU,30,0,100.0,0.0
11,1000,100,RAVE,RAVE,30,ROUGE,26,4,86.66666666666667,13.333333333333334
11,1000,100,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
11,1000,100,MCTS,RAVE,30,ROUGE,25,5,83.33333333333333,16.666666666666668
11,1000,100,MCTS,MCTS,30,ROUGE,30,0,100.0,0.0
11,1000,250,RAVE,RAVE,30,BLEU,20,10,66.66666666666667,33.333333333333336
11,1000,250,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
11,1000,250,MCTS,RAVE,30,BLEU,12,18,40.0,60.0
11,1000,250,MCTS,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
11,1000,250,RAVE,RAVE,30,ROUGE,18,12,60.0,40.0
11,1000,250,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
